Description,Year,Quarter,Month,DateofWeek,Hour,UnitPrice,Country,Discount,PaymentMethod,ShippingCost,Category,ShipmentProvider,WarehouseLocation,Actual_Quantity,Predicted_Quantity
Office Chair,2024,Q4,Oct,Sat,17,28.63,Norway,0.29,paypall,6.58,Accessories,FedEx,Berlin,28,25.11
Headphones,2021,Q2,Apr,Fri,22,86.52,United States,0.16,paypall,9.29,Furniture,FedEx,,46,25.11
Headphones,2020,Q4,Oct,Sat,11,43.04,France,0.38,Credit Card,14.46,Electronics,DHL,Amsterdam,41,23.34
Headphones,2022,Q2,Apr,Tue,13,14.02,Belgium,0.26,paypall,24.69,Electronics,Royal Mail,Berlin,13,24.37
T-shirt,2020,Q2,May,Tue,3,-32.55,Germany,1.279632885,Credit Card,,Stationery,Royal Mail,,-30,-28.04
USB Cable,2024,Q1,Mar,Mon,18,87.01,Netherlands,0.11,paypall,28.0,Electronics,DHL,London,43,22.98
Wireless Mouse,2020,Q4,Dec,Sat,4,88.47,United Kingdom,0.42,Bank Transfer,10.15,Electronics,UPS,Berlin,29,24.27
USB Cable,2020,Q4,Dec,Mon,18,87.18,Norway,0.2,paypall,9.99,Furniture,FedEx,Amsterdam,23,24.27
Desk Lamp,2022,Q4,Oct,Sat,13,98.87,Portugal,0.14,Credit Card,14.06,Accessories,UPS,Rome,37,18.81
USB Cable,2023,Q2,Apr,Sat,9,85.3,Australia,0.13,Credit Card,27.07,Electronics,DHL,London,31,25.43
Wall Clock,2021,Q3,Sep,Sat,22,59.13,United States,0.27,paypall,19.42,Electronics,UPS,Rome,32,27.99
Wireless Mouse,2023,Q3,Sep,Sun,5,15.79,Australia,0.28,paypall,11.77,Apparel,UPS,Berlin,44,24.23
Wireless Mouse,2021,Q1,Jan,Wed,14,75.59,Germany,0.13,Bank Transfer,18.76,Apparel,Royal Mail,Amsterdam,47,27.72
Wireless Mouse,2021,Q4,Nov,Sat,12,11.0,Italy,0.26,Bank Transfer,25.44,Stationery,Royal Mail,Amsterdam,13,26.9
Backpack,2021,Q1,Jan,Wed,12,58.6,Germany,0.05,Bank Transfer,6.06,Electronics,UPS,Amsterdam,6,23.38
White Mug,2024,Q1,Jan,Mon,11,69.02,Norway,0.14,paypall,23.34,Accessories,FedEx,Paris,37,24.28
Wall Clock,2021,Q3,Sep,Sat,7,28.73,France,0.35,Bank Transfer,26.45,Electronics,UPS,Amsterdam,23,22.64
Wireless Mouse,2020,Q4,Oct,Fri,9,29.32,Spain,0.07,Bank Transfer,8.6,Furniture,DHL,Rome,23,25.38
Backpack,2020,Q2,Jun,Sat,4,23.16,Portugal,0.05,Credit Card,26.54,Electronics,DHL,,26,22.33
Wireless Mouse,2024,Q3,Jul,Wed,10,59.39,Portugal,0.18,Bank Transfer,11.29,Electronics,DHL,Amsterdam,2,26.37
USB Cable,2023,Q2,Jun,Sun,17,19.4,United States,0.18,paypall,26.3,Accessories,FedEx,Paris,40,24.32
Wall Clock,2022,Q2,May,Tue,1,57.53,France,0.21,Credit Card,11.8,Stationery,DHL,Rome,16,24.27
Backpack,2021,Q4,Nov,Thu,19,-52.23,United States,1.581933003,Credit Card,,Apparel,Royal Mail,,-15,-19.08
Desk Lamp,2020,Q4,Oct,Tue,23,-5.89,Portugal,1.963756347,Credit Card,,Furniture,FedEx,,-32,-26.88
Wireless Mouse,2022,Q2,May,Thu,17,91.74,Australia,0.36,Bank Transfer,5.57,Apparel,FedEx,Rome,21,25.29
White Mug,2020,Q3,Aug,Sun,17,88.33,Portugal,0.2,paypall,5.89,Apparel,FedEx,Paris,7,26.91
Desk Lamp,2021,Q3,Aug,Sun,10,25.88,Italy,0.08,Credit Card,20.06,Electronics,Royal Mail,London,12,25.37
Headphones,2022,Q1,Feb,Wed,3,21.89,Germany,0.29,paypall,15.62,Apparel,Royal Mail,Paris,25,22.48
USB Cable,2023,Q1,Feb,Sun,13,95.71,Netherlands,0.33,Bank Transfer,9.52,Accessories,Royal Mail,London,5,24.31
Wall Clock,2024,Q3,Aug,Sat,17,25.14,Norway,0.21,Credit Card,11.21,Furniture,FedEx,Amsterdam,28,21.46
Headphones,2023,Q3,Aug,Tue,4,28.71,Belgium,0.07,Credit Card,29.59,Accessories,DHL,Berlin,42,22.78
Notebook,2020,Q4,Dec,Thu,3,48.19,Portugal,0.33,Credit Card,14.85,Electronics,DHL,London,28,22.31
Headphones,2021,Q2,Apr,Fri,5,19.89,United States,0.16,Credit Card,5.7,Apparel,UPS,London,40,24.75
T-shirt,2022,Q1,Feb,Sat,23,57.57,United States,0.43,Bank Transfer,27.05,Electronics,UPS,Berlin,48,23.37
Desk Lamp,2023,Q4,Oct,Mon,14,83.12,Australia,0.14,Credit Card,11.77,Stationery,UPS,London,42,23.35
USB Cable,2020,Q1,Mar,Wed,4,96.31,Netherlands,0.02,Credit Card,5.11,Apparel,Royal Mail,Amsterdam,28,25.94
White Mug,2023,Q1,Feb,Wed,7,32.96,France,0.4,Credit Card,11.06,Apparel,FedEx,Berlin,5,27.25
Blue Pen,2021,Q4,Dec,Sun,3,83.89,Germany,0.38,paypall,25.74,Accessories,UPS,Amsterdam,47,26.27
USB Cable,2023,Q4,Oct,Sat,16,5.45,Netherlands,0.09,Bank Transfer,6.74,Apparel,DHL,,36,26.78
Wall Clock,2021,Q1,Jan,Sun,15,79.47,Italy,0.39,Credit Card,6.87,Accessories,UPS,London,30,27.24
White Mug,2023,Q3,Sep,Tue,7,97.66,Italy,0.05,paypall,22.95,Furniture,UPS,Rome,24,26.5
Office Chair,2020,Q1,Jan,Tue,18,16.98,Australia,0.21,paypall,,Apparel,Royal Mail,,-18,-30.26
Desk Lamp,2023,Q1,Feb,Sun,13,23.41,Italy,0.03,Credit Card,7.25,Furniture,DHL,Berlin,11,23.24
White Mug,2021,Q1,Jan,Sat,15,90.51,Belgium,0.19,paypall,22.49,Apparel,FedEx,London,3,27.89
Office Chair,2023,Q2,Apr,Mon,22,48.17,Italy,0.28,paypall,13.34,Furniture,Royal Mail,Berlin,13,25.93
Desk Lamp,2021,Q3,Sep,Thu,9,35.09,Germany,0.1,paypall,29.58,Apparel,DHL,Paris,48,29.25
USB Cable,2023,Q4,Oct,Thu,13,-48.99,Italy,1.622254361,Credit Card,,Accessories,DHL,,-44,-20.44
Wall Clock,2020,Q1,Mar,Thu,19,44.82,Belgium,0.43,Credit Card,20.42,Accessories,FedEx,Rome,27,29.65
Blue Pen,2023,Q3,Jul,Sun,5,-43.81,France,1.1212513,paypall,,Furniture,FedEx,,-25,-21.23
Backpack,2022,Q4,Nov,Fri,11,3.52,Sweden,0.45,Credit Card,13.0,Apparel,FedEx,Rome,4,31.69
Backpack,2022,Q4,Dec,Sat,8,45.79,France,0.14,Credit Card,19.72,Furniture,FedEx,,5,21.55
White Mug,2023,Q1,Jan,Fri,23,78.94,United Kingdom,0.15,paypall,,Electronics,Royal Mail,,-49,-20.37
Wireless Mouse,2024,Q4,Oct,Tue,1,5.79,United Kingdom,0.2,Credit Card,23.42,Electronics,DHL,,19,26.11
Blue Pen,2021,Q2,Jun,Sun,16,41.16,Sweden,0.31,paypall,27.72,Furniture,DHL,Paris,1,21.11
Notebook,2020,Q3,Aug,Sun,7,77.49,Italy,0.28,Credit Card,23.76,Apparel,FedEx,Rome,30,26.79
Blue Pen,2022,Q3,Aug,Wed,21,-51.39,United Kingdom,1.77534838,Bank Transfer,,Stationery,UPS,,-33,-30.21
Wall Clock,2023,Q4,Oct,Sun,0,74.02,Sweden,0.18,paypall,12.53,Apparel,FedEx,Paris,37,25.98
T-shirt,2023,Q3,Sep,Thu,20,71.44,Italy,0.19,Credit Card,19.26,Electronics,DHL,,29,25.55
White Mug,2024,Q2,Apr,Tue,10,67.08,Germany,0.14,paypall,5.38,Electronics,DHL,Paris,45,25.49
Backpack,2020,Q2,Apr,Wed,4,98.7,Spain,0.16,Bank Transfer,18.09,Stationery,UPS,Amsterdam,16,25.24
Desk Lamp,2022,Q3,Aug,Sun,0,98.64,Norway,0.05,paypall,12.91,Furniture,DHL,Berlin,46,21.55
Wall Clock,2021,Q4,Oct,Mon,3,63.98,United States,0.03,Bank Transfer,27.52,Apparel,Royal Mail,Berlin,11,23.54
USB Cable,2021,Q2,Apr,Thu,16,1.7,Sweden,0.21,paypall,22.15,Accessories,Royal Mail,Berlin,47,29.25
Blue Pen,2020,Q4,Nov,Sun,21,63.64,Italy,0.04,Bank Transfer,,Apparel,UPS,,-30,-26.47
White Mug,2021,Q3,Jul,Mon,9,67.17,Netherlands,0.23,paypall,15.1,Apparel,FedEx,London,17,28.37
Office Chair,2021,Q4,Oct,Mon,7,27.73,Netherlands,0.43,Bank Transfer,21.2,Stationery,DHL,London,11,27.08
Blue Pen,2022,Q2,May,Sat,17,20.16,United Kingdom,0.2,Credit Card,9.53,Stationery,Royal Mail,Berlin,9,24.4
Desk Lamp,2021,Q3,Jul,Mon,23,24.51,Norway,0.22,Bank Transfer,5.79,Furniture,DHL,Rome,36,29.18
White Mug,2024,Q2,Apr,Wed,21,13.9,Netherlands,0.34,Credit Card,18.67,Furniture,DHL,Berlin,25,27.26
T-shirt,2024,Q4,Nov,Sat,21,32.64,France,0.14,Credit Card,23.47,Stationery,DHL,Berlin,30,22.55
Notebook,2022,Q1,Feb,Fri,20,84.55,Netherlands,0.23,paypall,29.82,Accessories,UPS,Berlin,14,24.85
Headphones,2024,Q2,May,Wed,12,66.16,Belgium,0.06,paypall,9.91,Furniture,UPS,Paris,32,21.61
USB Cable,2020,Q2,May,Sat,20,19.41,Spain,0.42,Bank Transfer,26.02,Furniture,DHL,Rome,30,27.48
Notebook,2020,Q1,Mar,Mon,0,69.2,France,0.08,Bank Transfer,16.01,Apparel,Royal Mail,Paris,33,22.79
Wall Clock,2022,Q1,Jan,Mon,21,88.48,Germany,0.19,paypall,18.46,Electronics,UPS,Rome,26,23.87
Wall Clock,2024,Q3,Jul,Fri,12,52.02,Germany,0.47,paypall,23.05,Electronics,UPS,London,10,28.12
Headphones,2020,Q4,Oct,Sun,9,-45.63,Australia,1.978747516,Credit Card,,Electronics,UPS,,-41,-24.28
White Mug,2022,Q2,Apr,Thu,1,31.56,Portugal,0.34,Credit Card,26.49,Apparel,FedEx,London,25,25.68
Office Chair,2023,Q1,Jan,Sun,7,48.26,Germany,0.49,Credit Card,20.95,Accessories,DHL,Rome,12,20.37
Blue Pen,2021,Q3,Jul,Fri,0,8.15,France,0.33,Bank Transfer,8.54,Accessories,UPS,Rome,10,23.74
Notebook,2024,Q1,Mar,Tue,6,36.24,France,0.11,Bank Transfer,,Accessories,FedEx,,-36,-29.69
T-shirt,2022,Q1,Feb,Wed,14,53.3,United States,0.19,Bank Transfer,13.15,Electronics,FedEx,Rome,45,23.79
Desk Lamp,2020,Q1,Mar,Thu,22,75.53,Australia,0.12,Credit Card,18.74,Stationery,UPS,Berlin,24,27.33
Office Chair,2022,Q3,Sep,Fri,5,91.7,Belgium,0.23,Credit Card,13.1,Accessories,DHL,London,5,24.26
T-shirt,2023,Q3,Jul,Sat,12,59.57,United States,0.13,Bank Transfer,12.89,Electronics,UPS,London,29,29.22
Wall Clock,2023,Q1,Mar,Mon,9,73.28,Netherlands,0.11,Bank Transfer,5.18,Electronics,DHL,London,46,25.16
T-shirt,2020,Q3,Jul,Thu,17,48.01,United States,0.2,Bank Transfer,7.1,Accessories,Royal Mail,Rome,24,25.49
Backpack,2024,Q4,Nov,Fri,7,41.59,Belgium,0.01,Bank Transfer,23.67,Stationery,Royal Mail,Paris,31,21.26
Headphones,2020,Q3,Jul,Thu,17,92.23,Germany,0.13,Credit Card,21.25,Electronics,FedEx,Paris,14,24.33
Backpack,2020,Q4,Dec,Thu,11,37.63,Belgium,0.38,Credit Card,12.5,Accessories,DHL,London,28,24.46
Blue Pen,2024,Q2,Jun,Sat,6,4.35,Spain,0.27,Credit Card,18.56,Stationery,Royal Mail,Paris,39,24.0
Wireless Mouse,2024,Q4,Oct,Sun,15,26.84,Italy,0.23,paypall,7.75,Furniture,UPS,Berlin,29,25.13
Backpack,2021,Q2,May,Wed,10,71.01,Belgium,0.11,Bank Transfer,23.09,Accessories,UPS,Amsterdam,20,22.47
USB Cable,2022,Q1,Feb,Sat,5,80.95,United States,0.4,Bank Transfer,19.16,Furniture,DHL,Amsterdam,19,25.36
Headphones,2021,Q3,Jul,Sat,12,-35.97,United States,1.472415904,Bank Transfer,,Stationery,FedEx,,-35,-22.14
White Mug,2022,Q3,Aug,Tue,16,47.68,France,0.37,Bank Transfer,21.78,Electronics,DHL,London,13,24.87
Wireless Mouse,2022,Q4,Oct,Wed,22,10.57,Netherlands,0.31,paypall,7.95,Electronics,FedEx,London,24,26.0
Desk Lamp,2023,Q2,Jun,Thu,13,90.13,Portugal,0.44,Bank Transfer,23.26,Stationery,Royal Mail,,8,24.74
Wireless Mouse,2020,Q1,Jan,Fri,18,9.61,Portugal,0.33,Credit Card,28.94,Stationery,UPS,Amsterdam,38,23.97
Backpack,2024,Q1,Mar,Fri,12,34.02,Belgium,0.42,Bank Transfer,24.69,Furniture,UPS,London,36,26.13
USB Cable,2020,Q1,Jan,Thu,13,22.11,United States,0.33,Credit Card,28.01,Stationery,DHL,London,24,22.79
USB Cable,2022,Q4,Nov,Wed,13,84.22,United States,0.2,Credit Card,14.99,Furniture,UPS,Amsterdam,17,24.08
Notebook,2021,Q3,Jul,Sat,15,56.73,France,0.26,Credit Card,5.76,Accessories,UPS,Amsterdam,42,21.23
Desk Lamp,2021,Q1,Feb,Tue,11,33.73,Australia,0.42,Bank Transfer,25.65,Electronics,Royal Mail,Amsterdam,12,27.98
Office Chair,2021,Q4,Dec,Thu,2,83.3,France,0.42,paypall,26.5,Apparel,UPS,Paris,48,24.25
Notebook,2024,Q2,Jun,Sun,6,65.22,Australia,0.03,Bank Transfer,20.78,Stationery,Royal Mail,Berlin,18,22.64
Wireless Mouse,2020,Q3,Jul,Fri,10,17.7,Netherlands,0.15,Bank Transfer,27.1,Accessories,DHL,Rome,11,27.68
Wall Clock,2020,Q1,Jan,Wed,5,84.86,Sweden,0.28,Bank Transfer,,Electronics,Royal Mail,,-39,-20.58
T-shirt,2020,Q4,Oct,Sun,0,18.7,Portugal,0.09,Credit Card,8.74,Electronics,Royal Mail,Rome,20,25.51
Headphones,2023,Q1,Feb,Fri,6,75.7,Belgium,0.11,Credit Card,29.18,Accessories,DHL,London,5,27.95
Blue Pen,2024,Q3,Jul,Tue,21,64.97,Australia,0.25,Bank Transfer,11.0,Apparel,DHL,Amsterdam,12,27.3
Desk Lamp,2022,Q1,Feb,Sun,10,77.58,Sweden,0.21,paypall,11.13,Furniture,UPS,Rome,48,26.5
Blue Pen,2024,Q1,Jan,Mon,18,78.61,Portugal,0.35,Credit Card,26.6,Apparel,UPS,Rome,25,22.67
Office Chair,2023,Q2,Apr,Wed,9,77.09,Spain,0.13,Credit Card,6.9,Apparel,FedEx,Amsterdam,36,22.75
Headphones,2023,Q2,May,Mon,3,20.5,Spain,0.35,paypall,23.19,Furniture,UPS,Berlin,21,23.85
Wall Clock,2021,Q3,Sep,Wed,8,24.1,Australia,0.46,Credit Card,11.4,Stationery,FedEx,London,11,25.27
USB Cable,2024,Q2,May,Tue,13,45.73,Germany,0.2,Bank Transfer,23.56,Electronics,Royal Mail,Amsterdam,47,18.83
Wall Clock,2024,Q2,Apr,Thu,13,26.26,Australia,0.44,paypall,16.82,Stationery,DHL,Berlin,46,26.89
Desk Lamp,2022,Q3,Sep,Wed,20,23.8,Netherlands,0.39,Credit Card,27.49,Stationery,DHL,,11,20.8
Headphones,2020,Q2,Apr,Thu,17,28.4,Portugal,0.2,paypall,15.85,Accessories,DHL,Paris,15,26.63
Backpack,2020,Q1,Mar,Sat,10,99.23,Belgium,0.02,Credit Card,22.94,Stationery,DHL,Berlin,37,26.97
Backpack,2020,Q4,Dec,Sun,14,46.65,Sweden,0.27,Credit Card,19.39,Electronics,Royal Mail,Berlin,26,26.38
Wireless Mouse,2024,Q3,Aug,Thu,18,-69.33,Sweden,1.594900178,Credit Card,,Stationery,UPS,,-17,-24.19
White Mug,2023,Q1,Jan,Sat,2,88.2,Australia,0.25,Bank Transfer,6.95,Stationery,UPS,Rome,47,28.6
Desk Lamp,2022,Q1,Feb,Mon,19,86.34,France,0.32,Bank Transfer,28.82,Accessories,FedEx,Paris,33,25.66
Backpack,2024,Q1,Jan,Tue,9,69.47,France,0.18,Credit Card,9.71,Stationery,Royal Mail,Paris,20,25.75
White Mug,2022,Q2,Apr,Sun,1,43.82,Belgium,0.03,Credit Card,9.35,Apparel,UPS,Amsterdam,19,26.59
Headphones,2023,Q2,May,Tue,17,17.26,Australia,0.31,Bank Transfer,5.1,Furniture,UPS,Rome,46,21.5
T-shirt,2021,Q1,Jan,Tue,17,54.75,Italy,0.45,Credit Card,15.69,Accessories,UPS,Berlin,29,25.65
Blue Pen,2022,Q3,Aug,Fri,17,68.78,Spain,0.04,Bank Transfer,20.93,Accessories,Royal Mail,Berlin,14,25.16
T-shirt,2020,Q2,Jun,Tue,7,41.31,Netherlands,0.45,Bank Transfer,24.27,Stationery,FedEx,London,21,23.88
USB Cable,2021,Q3,Aug,Sun,17,37.51,Belgium,0.18,Bank Transfer,24.13,Electronics,DHL,Paris,3,24.16
Blue Pen,2023,Q3,Sep,Fri,6,62.12,Portugal,0.21,paypall,11.32,Furniture,Royal Mail,Amsterdam,18,18.84
Notebook,2021,Q3,Sep,Sat,9,50.85,Australia,0.36,paypall,,Accessories,UPS,,-27,-29.67
Notebook,2021,Q2,May,Tue,17,18.39,Italy,0.46,paypall,6.09,Electronics,DHL,London,32,26.09
Backpack,2023,Q4,Nov,Sun,4,59.66,United Kingdom,0.02,Bank Transfer,11.09,Stationery,DHL,Rome,41,25.28
Wireless Mouse,2020,Q4,Oct,Sun,8,7.39,Germany,0.5,paypall,12.82,Stationery,DHL,Berlin,20,25.4
Wireless Mouse,2022,Q1,Feb,Fri,13,39.4,Italy,0.05,paypall,8.28,Furniture,FedEx,London,39,25.53
Desk Lamp,2021,Q4,Oct,Wed,18,59.55,United Kingdom,0.36,Bank Transfer,20.46,Accessories,Royal Mail,,17,26.38
Headphones,2023,Q1,Mar,Fri,15,85.18,United States,0.25,Bank Transfer,20.43,Furniture,DHL,London,5,25.75
White Mug,2023,Q1,Jan,Sat,8,35.36,Spain,0.13,Bank Transfer,18.78,Furniture,Royal Mail,London,6,28.86
Wireless Mouse,2023,Q2,Apr,Wed,1,88.98,Italy,0.33,paypall,24.95,Apparel,DHL,London,20,22.39
Headphones,2021,Q4,Dec,Fri,1,57.81,Australia,0.34,Credit Card,28.7,Accessories,DHL,Amsterdam,31,26.45
Wall Clock,2021,Q3,Jul,Sun,3,73.51,Italy,0.49,paypall,16.72,Stationery,Royal Mail,Amsterdam,45,25.6
USB Cable,2023,Q1,Mar,Tue,23,21.0,United Kingdom,0.16,paypall,29.28,Stationery,DHL,London,3,27.04
Wireless Mouse,2020,Q4,Oct,Sat,16,15.81,Spain,0.06,Credit Card,15.75,Electronics,UPS,Berlin,25,22.28
T-shirt,2024,Q2,May,Sat,13,17.64,Norway,0.29,Bank Transfer,19.01,Stationery,Royal Mail,Rome,32,24.75
Desk Lamp,2021,Q4,Dec,Mon,2,22.84,Norway,0.1,paypall,25.14,Stationery,FedEx,Paris,40,26.08
USB Cable,2021,Q3,Aug,Wed,6,91.2,Norway,0.49,paypall,27.19,Stationery,UPS,Amsterdam,2,23.15
T-shirt,2023,Q4,Oct,Sun,1,23.83,France,0.14,paypall,20.12,Stationery,FedEx,Rome,35,22.2
Headphones,2022,Q4,Nov,Wed,3,45.31,France,0.19,Credit Card,11.34,Apparel,Royal Mail,Paris,44,23.99
Wireless Mouse,2024,Q1,Feb,Thu,8,66.21,Australia,0.16,Bank Transfer,12.44,Accessories,FedEx,Rome,8,27.87
T-shirt,2021,Q1,Mar,Mon,21,86.1,Portugal,0.42,Bank Transfer,11.64,Furniture,Royal Mail,Amsterdam,26,23.27
Blue Pen,2024,Q4,Nov,Sat,14,63.36,United States,0.43,Credit Card,23.44,Stationery,Royal Mail,London,10,27.0
Blue Pen,2023,Q3,Aug,Sat,1,87.93,Norway,0.17,Bank Transfer,8.52,Stationery,UPS,Berlin,20,26.57
Wall Clock,2024,Q3,Jul,Tue,8,40.7,France,0.14,Credit Card,26.29,Apparel,Royal Mail,Rome,16,25.25
T-shirt,2021,Q2,Jun,Thu,3,8.54,Belgium,0.13,paypall,23.8,Accessories,UPS,Paris,22,22.47
Blue Pen,2021,Q1,Feb,Fri,6,34.35,Portugal,0.2,Bank Transfer,23.43,Electronics,DHL,London,28,24.73
Wireless Mouse,2024,Q3,Aug,Mon,8,65.97,France,0.21,paypall,21.85,Furniture,FedEx,Rome,30,26.53
Blue Pen,2023,Q2,May,Sun,3,46.31,Netherlands,0.14,paypall,15.32,Accessories,UPS,Amsterdam,44,20.85
White Mug,2022,Q4,Nov,Wed,9,38.68,Italy,0.41,paypall,15.11,Stationery,FedEx,Paris,46,20.9
White Mug,2024,Q4,Oct,Sat,17,70.95,Portugal,0.42,Bank Transfer,5.53,Accessories,DHL,Rome,44,25.54
Headphones,2020,Q3,Sep,Tue,21,6.87,Netherlands,0.14,Bank Transfer,16.74,Furniture,FedEx,Rome,47,26.88
Desk Lamp,2020,Q4,Oct,Sun,10,45.22,France,0.37,Bank Transfer,29.77,Stationery,DHL,Rome,31,21.88
Notebook,2023,Q4,Nov,Sun,5,12.83,France,0.48,Credit Card,12.09,Electronics,DHL,Amsterdam,23,30.31
Wireless Mouse,2023,Q1,Feb,Thu,8,77.24,Italy,0.37,Bank Transfer,22.96,Accessories,UPS,Berlin,37,25.42
Wireless Mouse,2021,Q4,Nov,Sat,9,63.39,France,0.24,paypall,12.44,Accessories,FedEx,Berlin,14,27.3
Backpack,2024,Q4,Nov,Sun,7,59.19,Sweden,0.48,Credit Card,11.34,Accessories,UPS,Paris,13,27.81
Headphones,2024,Q2,Jun,Thu,20,63.14,Spain,0.35,paypall,6.56,Furniture,DHL,Amsterdam,30,25.86
White Mug,2020,Q2,May,Tue,3,24.1,United Kingdom,0.41,paypall,20.95,Apparel,FedEx,Amsterdam,16,22.82
Wireless Mouse,2024,Q4,Dec,Thu,2,10.62,France,0.2,paypall,23.02,Stationery,Royal Mail,Berlin,26,23.23
Blue Pen,2020,Q1,Mar,Thu,13,66.72,Netherlands,0.36,paypall,13.97,Stationery,UPS,Amsterdam,41,22.38
Office Chair,2024,Q4,Nov,Thu,20,60.69,Norway,0.15,Credit Card,17.46,Electronics,DHL,Rome,5,26.59
Office Chair,2024,Q4,Dec,Wed,1,46.05,Germany,0.07,paypall,28.22,Electronics,UPS,Paris,31,23.2
USB Cable,2024,Q4,Nov,Mon,20,89.45,Germany,0.3,paypall,29.33,Accessories,DHL,London,21,22.57
Blue Pen,2024,Q3,Sep,Wed,6,62.76,Netherlands,0.19,Credit Card,24.45,Electronics,UPS,London,14,25.16
White Mug,2020,Q1,Mar,Wed,23,88.31,Australia,0.0,Bank Transfer,13.67,Apparel,DHL,Rome,26,26.12
White Mug,2020,Q2,Jun,Thu,12,4.56,Italy,0.23,paypall,11.64,Furniture,FedEx,Rome,30,24.84
Backpack,2022,Q2,May,Sat,21,17.06,Belgium,0.32,paypall,15.83,Accessories,UPS,London,17,26.44
Backpack,2020,Q2,Apr,Fri,13,37.81,Netherlands,0.28,Credit Card,19.48,Stationery,DHL,Paris,21,25.91
Wall Clock,2023,Q3,Sep,Thu,12,65.14,Portugal,0.48,Credit Card,22.17,Electronics,Royal Mail,Paris,48,22.27
Wall Clock,2024,Q4,Oct,Wed,2,47.51,Spain,0.31,Bank Transfer,16.22,Accessories,FedEx,Paris,48,24.73
Wall Clock,2021,Q4,Nov,Tue,23,-56.13,United States,1.734907909,Credit Card,,Accessories,UPS,,-2,-26.56
White Mug,2021,Q3,Jul,Sat,14,20.93,United States,0.04,paypall,5.19,Electronics,UPS,Rome,35,24.9
USB Cable,2020,Q3,Aug,Wed,15,12.46,Norway,0.33,Credit Card,,Accessories,DHL,,-12,-26.9
Wireless Mouse,2023,Q4,Nov,Mon,0,36.32,Australia,0.17,Bank Transfer,9.38,Electronics,UPS,Amsterdam,45,24.76
Wall Clock,2024,Q1,Mar,Sun,5,14.07,United Kingdom,0.47,Bank Transfer,24.14,Accessories,DHL,Amsterdam,18,25.9
Wall Clock,2021,Q2,Apr,Wed,13,88.83,Germany,0.35,paypall,12.82,Stationery,DHL,Rome,11,25.29
T-shirt,2024,Q4,Oct,Sat,0,57.29,Australia,0.43,paypall,12.07,Electronics,UPS,Berlin,14,28.13
Wireless Mouse,2021,Q3,Aug,Fri,15,40.68,United Kingdom,0.46,Credit Card,15.94,Stationery,UPS,London,35,22.21
White Mug,2023,Q2,May,Sat,18,99.52,Spain,0.29,paypall,25.48,Stationery,UPS,Rome,2,20.1
Notebook,2021,Q2,Apr,Sat,7,20.24,Australia,0.25,Bank Transfer,26.27,Stationery,Royal Mail,Paris,23,20.54
Wireless Mouse,2024,Q4,Oct,Fri,16,33.86,United Kingdom,0.49,Bank Transfer,11.38,Stationery,UPS,,12,23.5
White Mug,2022,Q1,Jan,Fri,0,38.86,Portugal,0.07,paypall,8.98,Stationery,UPS,Paris,1,24.37
White Mug,2021,Q1,Jan,Tue,13,7.33,Spain,0.43,paypall,29.76,Apparel,UPS,Amsterdam,7,27.0
Backpack,2023,Q2,May,Mon,8,43.27,Australia,0.26,Bank Transfer,25.99,Stationery,Royal Mail,Rome,31,24.67
Notebook,2020,Q2,Jun,Sun,11,2.39,Italy,0.41,Bank Transfer,10.86,Electronics,UPS,Rome,41,23.04
White Mug,2020,Q2,May,Thu,14,9.48,Norway,0.44,Bank Transfer,24.72,Accessories,Royal Mail,Amsterdam,2,22.55
USB Cable,2020,Q3,Aug,Mon,14,49.77,Germany,0.19,paypall,13.94,Apparel,Royal Mail,London,3,20.81
Wireless Mouse,2021,Q2,May,Sun,17,31.25,Sweden,0.19,paypall,24.28,Apparel,DHL,London,26,24.12
Blue Pen,2024,Q4,Dec,Sun,21,90.02,France,0.45,paypall,11.84,Accessories,UPS,Amsterdam,16,22.57
Headphones,2022,Q3,Jul,Fri,13,52.45,France,0.09,Bank Transfer,14.8,Apparel,DHL,London,7,24.84
USB Cable,2024,Q4,Dec,Mon,17,-51.03,Italy,0.09,paypall,,Apparel,DHL,,-47,-23.0
Wireless Mouse,2024,Q3,Jul,Sun,2,21.82,Portugal,0.03,paypall,11.65,Furniture,DHL,,18,27.77
Notebook,2020,Q4,Oct,Tue,11,73.29,Australia,0.32,Bank Transfer,9.57,Furniture,UPS,Berlin,32,26.3
Wall Clock,2022,Q4,Dec,Fri,2,46.44,Netherlands,0.14,Bank Transfer,21.5,Furniture,UPS,Amsterdam,46,28.97
Desk Lamp,2022,Q2,May,Tue,17,72.72,United Kingdom,0.33,Credit Card,7.78,Electronics,UPS,Berlin,4,23.2
Wireless Mouse,2024,Q1,Feb,Thu,10,82.01,United Kingdom,0.03,Bank Transfer,13.46,Accessories,UPS,Amsterdam,43,25.62
White Mug,2021,Q3,Jul,Fri,22,99.07,Australia,0.16,Credit Card,22.69,Stationery,FedEx,Rome,36,24.35
White Mug,2020,Q4,Dec,Tue,14,23.59,Spain,0.34,paypall,14.54,Stationery,FedEx,London,18,24.77
Office Chair,2020,Q2,Jun,Wed,1,76.78,Belgium,0.28,Credit Card,,Electronics,UPS,,-27,-25.73
White Mug,2024,Q1,Jan,Mon,22,97.75,United States,0.5,paypall,14.25,Accessories,Royal Mail,Rome,38,26.91
T-shirt,2021,Q2,Apr,Mon,12,78.2,France,0.21,Credit Card,29.76,Electronics,FedEx,Amsterdam,41,25.63
